month,iuran,claim,gap,claim_ratio
2024-03,12.9,14.5,1.6,1.124031007751938
2024-04,13.7,14.1,0.4,1.0291970802919708
2024-05,13.8,14.53,0.73,1.0528985507246376
2024-06,14.58,15.15,0.57,1.0390946502057614
2024-07,14.16,14.74,0.58,1.0409604519774012
2024-08,14.06,15.56,1.5,1.1066856330014225
2024-09,13.67,14.4,0.73,1.0534016093635699
2024-10,10.88,14.5,3.62,1.332720588235294
2024-11,16.85,13.79,-3.06,0.8183976261127596
2024-12,14.95,15.0,0.05,1.0033444816053512
2025-01,12.9,14.6,1.7,1.1317829457364341
2025-02,14.76,15.08,0.32,1.0216802168021681
2025-03,14.22,17.32,3.1,1.2180028129395217
2025-04,14.58,13.18,-1.4,0.9039780521262003
2025-05,14.74,15.42,0.68,1.0461329715061058
2025-06,14.2,15.6,1.4,1.0985915492957747
2025-07,14.64,16.08,1.44,1.0983606557377048
2025-08,15.0,16.11,1.11,1.074
2025-09,14.86,16.01,1.15,1.0773889636608347
2025-10,14.66,16.7,2.04,1.1391541609822646
2025-11,15.19,16.49,1.3,1.085582620144832
2025-12,16.95,20.11,3.16,1.1864306784660767
