Non-food efficiency,Share saving transferred,Median transfer (Rp T),Median end net assets (Rp T),Median fund resilience (months),P(end assets < 0),P(resilience < 1 month),P(resilience >= 3 months)
10%,25%,2.23,22.97,1.49,0.0%,3.6%,0.0%
10%,50%,4.45,25.2,1.64,0.0%,0.9%,0.0%
10%,75%,6.68,27.42,1.78,0.0%,0.1%,0.0%
10%,100%,8.9,29.65,1.93,0.0%,0.0%,0.0%
20%,25%,4.45,25.2,1.64,0.0%,0.9%,0.0%
20%,50%,8.9,29.65,1.93,0.0%,0.0%,0.0%
20%,75%,13.35,34.1,2.22,0.0%,0.0%,0.6%
20%,100%,17.8,38.55,2.51,0.0%,0.0%,6.5%
30%,25%,6.68,27.42,1.78,0.0%,0.1%,0.0%
30%,50%,13.35,34.1,2.22,0.0%,0.0%,0.6%
30%,75%,20.03,40.78,2.65,0.0%,0.0%,14.6%
30%,100%,26.71,47.45,3.09,0.0%,0.0%,59.9%
40%,25%,8.9,29.65,1.93,0.0%,0.0%,0.0%
40%,50%,17.8,38.55,2.51,0.0%,0.0%,6.5%
40%,75%,26.71,47.45,3.09,0.0%,0.0%,59.9%
40%,100%,35.61,56.36,3.66,0.0%,0.0%,97.3%
