Block,Transfer rate,Coverage probability,Required non-food efficiency
2,0.25,0.5,
2,0.25,0.8,
2,0.25,0.9,
2,0.25,0.95,
2,0.5,0.5,0.28499999999999986
2,0.5,0.8,0.3599999999999998
2,0.5,0.9,0.3949999999999998
2,0.5,0.95,0.4249999999999998
2,0.75,0.5,0.18999999999999995
2,0.75,0.8,0.23999999999999988
2,0.75,0.9,0.2649999999999999
2,0.75,0.95,0.28499999999999986
2,1.0,0.5,0.14499999999999996
2,1.0,0.8,0.17999999999999994
2,1.0,0.9,0.1999999999999999
2,1.0,0.95,0.2149999999999999
3,0.25,0.5,
3,0.25,0.8,
3,0.25,0.9,
3,0.25,0.95,
3,0.5,0.5,0.27999999999999986
3,0.5,0.8,0.3549999999999998
3,0.5,0.9,0.3949999999999998
3,0.5,0.95,0.4249999999999998
3,0.75,0.5,0.18999999999999995
3,0.75,0.8,0.23999999999999988
3,0.75,0.9,0.2649999999999999
3,0.75,0.95,0.28499999999999986
3,1.0,0.5,0.13999999999999996
3,1.0,0.8,0.17999999999999994
3,1.0,0.9,0.1999999999999999
3,1.0,0.95,0.2149999999999999
4,0.25,0.5,
4,0.25,0.8,
4,0.25,0.9,
4,0.25,0.95,
4,0.5,0.5,0.27999999999999986
4,0.5,0.8,0.3549999999999998
4,0.5,0.9,0.38999999999999985
4,0.5,0.95,0.4199999999999998
4,0.75,0.5,0.18999999999999995
4,0.75,0.8,0.23499999999999993
4,0.75,0.9,0.2599999999999999
4,0.75,0.95,0.27999999999999986
4,1.0,0.5,0.13999999999999996
4,1.0,0.8,0.17999999999999994
4,1.0,0.9,0.19499999999999995
4,1.0,0.95,0.2099999999999999
6,0.25,0.5,
6,0.25,0.8,
6,0.25,0.9,
6,0.25,0.95,
6,0.5,0.5,0.27999999999999986
6,0.5,0.8,0.3499999999999998
6,0.5,0.9,0.38499999999999984
6,0.5,0.95,0.4149999999999998
6,0.75,0.5,0.18999999999999995
6,0.75,0.8,0.23499999999999993
6,0.75,0.9,0.2599999999999999
6,0.75,0.95,0.27999999999999986
6,1.0,0.5,0.13999999999999996
6,1.0,0.8,0.17499999999999993
6,1.0,0.9,0.19499999999999995
6,1.0,0.95,0.2099999999999999
